production_process,raw_material,process_stage,material_category,production_quantity,material_quantity,waste_type
Finishing & Grinding,Scrap Steel,Casting,Fuel/Reductant,89.91,74.01,Steel Scrap
Cold Rolling,Limestone,Coating,Fuel/Reductant,119.9,91.49,Pickling Sludge
Continuous Casting,Coke,Coating,Flux Material,95.51,115.48,Mill Scale
Finishing & Grinding,Limestone,Casting,Fuel/Reductant,113.1,146.87,Steel Scrap
Finishing & Grinding,Iron Ore,Refining,Coating Material,86.69,98.57,Waste Gas Sludge
Finishing & Grinding,Coke,Coating,Ferrous Metal,68.06,82.46,Pickling Sludge
Cold Rolling,Zinc Coating Material,Casting,Fuel/Reductant,70.06,78.21,Pickling Sludge
Hot Rolling,Coke,Coating,Flux Material,148.17,100.36,Mill Scale
Cold Rolling,Alloy Additives,Finishing,Coating Material,45.46,34.71,Pickling Sludge
Forging,Coke,Casting,Coating Material,56.24,34.45,Refractory Waste
Hot Rolling,Alloy Additives,Coating,Fuel/Reductant,83.77,90.12,EAF Dust
Galvanizing,Limestone,Coating,Fuel/Reductant,93.64,118.45,Zinc Ash
Continuous Casting,Coke,Coating,Flux Material,125.21,116.09,Mill Scale
Cold Rolling,Alloy Additives,Casting,Coating Material,77.59,55.63,Steel Scrap
Cold Rolling,Limestone,Melting,Flux Material,91.08,87.33,Pickling Sludge
Forging,Alloy Additives,Casting,Ferrous Metal,103.82,75.12,Steel Scrap
Hot Rolling,Zinc Coating Material,Melting,Coating Material,64.63,54.62,Mill Scale
Forging,Iron Ore,Finishing,Non-Ferrous Metal,66.67,85.23,Steel Scrap
Basic Oxygen Furnace,Iron Ore,Melting,Fuel/Reductant,146.48,103.67,Blast Furnace Slag
Hot Rolling,Limestone,Coating,Coating Material,66.21,50.13,Pickling Sludge
Electric Arc Furnace,Zinc Coating Material,Refining,Coating Material,92.45,93.01,EAF Dust
Finishing & Grinding,Alloy Additives,Rolling,Flux Material,41.55,50.45,Pickling Sludge
Galvanizing,Alloy Additives,Casting,Flux Material,64.94,82.41,Pickling Sludge
Hot Rolling,Coke,Coating,Flux Material,71.89,83.87,Mill Scale
Cold Rolling,Coke,Finishing,Non-Ferrous Metal,110.75,98.12,Mill Scale
Finishing & Grinding,Coke,Coating,Flux Material,178.88,139.85,Steel Scrap
Forging,Limestone,Casting,Non-Ferrous Metal,83.82,63.21,Steel Scrap
Basic Oxygen Furnace,Coke,Rolling,Flux Material,166.53,108.79,Waste Gas Sludge
Cold Rolling,Alloy Additives,Finishing,Flux Material,84.41,85.65,Pickling Sludge
Hot Rolling,Iron Ore,Melting,Coating Material,134.89,113.78,Mill Scale
Basic Oxygen Furnace,Limestone,Casting,Fuel/Reductant,111.75,135.78,Blast Furnace Slag
Electric Arc Furnace,Alloy Additives,Refining,Fuel/Reductant,169.46,179.78,Steel Scrap
Finishing & Grinding,Limestone,Finishing,Non-Ferrous Metal,117.79,126.75,Mill Scale
Cold Rolling,Zinc Coating Material,Melting,Ferrous Metal,104.43,117.68,Mill Scale
Electric Arc Furnace,Iron Ore,Rolling,Non-Ferrous Metal,79.17,88.71,Refractory Waste
Finishing & Grinding,Iron Ore,Finishing,Flux Material,90.35,105.94,Blast Furnace Slag
Galvanizing,Coke,Rolling,Coating Material,86.03,68.9,Zinc Ash
Continuous Casting,Alloy Additives,Rolling,Flux Material,139.31,179.27,Mill Scale
Continuous Casting,Zinc Coating Material,Rolling,Flux Material,45.1,44.11,Zinc Ash
Cold Rolling,Alloy Additives,Finishing,Non-Ferrous Metal,114.53,77.29,Pickling Sludge
Forging,Limestone,Coating,Flux Material,94.22,79.08,Steel Scrap
Continuous Casting,Iron Ore,Rolling,Flux Material,154.68,193.72,Refractory Waste
Hot Rolling,Limestone,Casting,Flux Material,70.03,76.73,Mill Scale
Electric Arc Furnace,Coke,Finishing,Flux Material,92.12,92.81,Steel Scrap
Basic Oxygen Furnace,Limestone,Casting,Non-Ferrous Metal,135.21,163.61,Blast Furnace Slag
Cold Rolling,Zinc Coating Material,Melting,Flux Material,41.39,52.91,Pickling Sludge
Continuous Casting,Limestone,Refining,Fuel/Reductant,66.56,41.08,Refractory Waste
Forging,Zinc Coating Material,Coating,Fuel/Reductant,99.19,81.98,Mill Scale
Hot Rolling,Iron Ore,Finishing,Coating Material,154.05,140.51,Waste Gas Sludge
Finishing & Grinding,Alloy Additives,Finishing,Flux Material,82.67,107.3,Steel Scrap
Electric Arc Furnace,Alloy Additives,Coating,Non-Ferrous Metal,43.07,49.8,Steel Scrap
Galvanizing,Alloy Additives,Rolling,Ferrous Metal,28.18,21.26,Pickling Sludge
Finishing & Grinding,Scrap Steel,Coating,Fuel/Reductant,94.01,74.39,Pickling Sludge
Forging,Limestone,Coating,Ferrous Metal,66.41,46.87,Steel Scrap
Cold Rolling,Zinc Coating Material,Melting,Fuel/Reductant,110.39,115.57,Mill Scale
Basic Oxygen Furnace,Scrap Steel,Rolling,Flux Material,81.51,64.55,Waste Gas Sludge
Electric Arc Furnace,Scrap Steel,Rolling,Ferrous Metal,83.38,63.45,EAF Dust
Continuous Casting,Zinc Coating Material,Finishing,Fuel/Reductant,93.99,58.44,Mill Scale
Finishing & Grinding,Limestone,Rolling,Ferrous Metal,47.69,44.41,Mill Scale
Continuous Casting,Zinc Coating Material,Casting,Ferrous Metal,147.68,107.79,Mill Scale
Continuous Casting,Zinc Coating Material,Refining,Ferrous Metal,97.83,116.55,Refractory Waste
Finishing & Grinding,Zinc Coating Material,Finishing,Coating Material,102.37,106.3,Steel Scrap
Hot Rolling,Iron Ore,Rolling,Flux Material,92.21,86.41,Mill Scale
Basic Oxygen Furnace,Scrap Steel,Finishing,Fuel/Reductant,112.91,77.64,Steel Scrap
Electric Arc Furnace,Iron Ore,Refining,Ferrous Metal,63.06,59.54,Steel Scrap
Hot Rolling,Zinc Coating Material,Melting,Fuel/Reductant,166.89,168.12,Mill Scale
Electric Arc Furnace,Iron Ore,Coating,Flux Material,118.69,109.04,EAF Dust
Galvanizing,Alloy Additives,Coating,Flux Material,63.76,41.49,Zinc Ash
Hot Rolling,Limestone,Casting,Flux Material,69.85,56.17,Mill Scale
Continuous Casting,Zinc Coating Material,Finishing,Fuel/Reductant,24.5,29.45,Zinc Ash
Forging,Alloy Additives,Casting,Fuel/Reductant,54.94,70.91,Steel Scrap
Continuous Casting,Alloy Additives,Rolling,Non-Ferrous Metal,83.31,79.08,Refractory Waste
Continuous Casting,Limestone,Melting,Coating Material,150.78,91.5,Steel Scrap
Continuous Casting,Limestone,Refining,Flux Material,120.33,115.81,Mill Scale
Finishing & Grinding,Coke,Melting,Coating Material,76.48,50.09,Mill Scale
Cold Rolling,Limestone,Finishing,Coating Material,62.9,43.58,Mill Scale
Hot Rolling,Alloy Additives,Finishing,Coating Material,166.7,123.38,Mill Scale
Galvanizing,Coke,Melting,Non-Ferrous Metal,110.0,74.05,Waste Gas Sludge
Basic Oxygen Furnace,Zinc Coating Material,Rolling,Non-Ferrous Metal,145.4,182.53,Steel Scrap
Forging,Iron Ore,Coating,Flux Material,122.48,119.9,Mill Scale
Galvanizing,Coke,Casting,Flux Material,112.45,130.58,Zinc Ash
Basic Oxygen Furnace,Zinc Coating Material,Rolling,Flux Material,99.84,116.85,Refractory Waste
Forging,Scrap Steel,Coating,Non-Ferrous Metal,141.25,148.38,Refractory Waste
Cold Rolling,Iron Ore,Refining,Flux Material,92.25,102.59,Pickling Sludge
Hot Rolling,Limestone,Coating,Flux Material,63.8,48.07,Mill Scale
Finishing & Grinding,Limestone,Refining,Flux Material,68.87,57.56,Steel Scrap
Finishing & Grinding,Iron Ore,Coating,Ferrous Metal,105.07,99.68,Mill Scale
Basic Oxygen Furnace,Zinc Coating Material,Melting,Ferrous Metal,66.12,72.96,Blast Furnace Slag
Hot Rolling,Scrap Steel,Finishing,Non-Ferrous Metal,86.36,92.94,Mill Scale
Galvanizing,Scrap Steel,Coating,Coating Material,89.36,55.53,Waste Gas Sludge
Electric Arc Furnace,Scrap Steel,Coating,Coating Material,76.14,84.44,Pickling Sludge
Cold Rolling,Scrap Steel,Coating,Fuel/Reductant,38.26,34.35,Steel Scrap
Basic Oxygen Furnace,Scrap Steel,Coating,Non-Ferrous Metal,48.31,30.34,Blast Furnace Slag
Cold Rolling,Coke,Casting,Fuel/Reductant,42.7,42.92,Pickling Sludge
Finishing & Grinding,Alloy Additives,Refining,Non-Ferrous Metal,160.42,194.33,Steel Scrap
Basic Oxygen Furnace,Zinc Coating Material,Finishing,Ferrous Metal,69.64,62.34,Blast Furnace Slag
Finishing & Grinding,Scrap Steel,Finishing,Ferrous Metal,110.48,82.58,Mill Scale
Forging,Zinc Coating Material,Casting,Coating Material,40.22,41.91,Refractory Waste
Electric Arc Furnace,Iron Ore,Refining,Coating Material,64.56,79.82,Blast Furnace Slag
Cold Rolling,Alloy Additives,Coating,Ferrous Metal,99.93,76.57,Pickling Sludge
Electric Arc Furnace,Iron Ore,Coating,Non-Ferrous Metal,84.09,101.71,Refractory Waste
Forging,Scrap Steel,Casting,Non-Ferrous Metal,134.13,128.81,Steel Scrap
Forging,Zinc Coating Material,Coating,Flux Material,132.97,116.18,Steel Scrap
Basic Oxygen Furnace,Alloy Additives,Finishing,Flux Material,36.78,28.71,Blast Furnace Slag
Basic Oxygen Furnace,Coke,Coating,Coating Material,46.65,32.26,Refractory Waste
Galvanizing,Scrap Steel,Finishing,Flux Material,133.55,122.55,Pickling Sludge
Hot Rolling,Coke,Coating,Fuel/Reductant,87.77,103.59,Mill Scale
Forging,Scrap Steel,Coating,Flux Material,46.93,36.33,Mill Scale
Basic Oxygen Furnace,Coke,Refining,Fuel/Reductant,150.64,108.06,Waste Gas Sludge
Forging,Coke,Casting,Ferrous Metal,119.12,132.88,Steel Scrap
Finishing & Grinding,Coke,Casting,Ferrous Metal,74.02,86.16,Steel Scrap
Finishing & Grinding,Alloy Additives,Coating,Coating Material,182.81,220.8,Zinc Ash
Basic Oxygen Furnace,Alloy Additives,Coating,Flux Material,76.08,48.69,Refractory Waste
Forging,Scrap Steel,Finishing,Coating Material,78.18,98.16,Refractory Waste
Continuous Casting,Zinc Coating Material,Rolling,Non-Ferrous Metal,113.94,108.82,Mill Scale
Finishing & Grinding,Iron Ore,Melting,Non-Ferrous Metal,82.15,57.82,Steel Scrap
Finishing & Grinding,Scrap Steel,Casting,Flux Material,122.1,117.33,Pickling Sludge
Finishing & Grinding,Alloy Additives,Coating,Non-Ferrous Metal,97.98,104.53,Steel Scrap
Electric Arc Furnace,Limestone,Casting,Coating Material,131.03,140.39,EAF Dust
Finishing & Grinding,Coke,Rolling,Coating Material,53.01,35.29,Steel Scrap
Hot Rolling,Limestone,Casting,Non-Ferrous Metal,64.62,46.79,Pickling Sludge
Cold Rolling,Zinc Coating Material,Finishing,Fuel/Reductant,173.3,205.65,Steel Scrap
Galvanizing,Limestone,Casting,Fuel/Reductant,90.48,93.42,Zinc Ash
Hot Rolling,Alloy Additives,Coating,Non-Ferrous Metal,98.71,98.65,Steel Scrap
Finishing & Grinding,Zinc Coating Material,Refining,Fuel/Reductant,130.9,138.91,Mill Scale
Basic Oxygen Furnace,Limestone,Finishing,Fuel/Reductant,134.82,142.35,Blast Furnace Slag
Cold Rolling,Zinc Coating Material,Refining,Fuel/Reductant,96.27,61.01,Steel Scrap
Finishing & Grinding,Alloy Additives,Rolling,Coating Material,60.81,53.81,Mill Scale
Forging,Alloy Additives,Melting,Flux Material,97.0,108.34,Mill Scale
Basic Oxygen Furnace,Scrap Steel,Refining,Flux Material,100.97,89.15,Blast Furnace Slag
Forging,Coke,Rolling,Ferrous Metal,134.94,152.97,Steel Scrap
Hot Rolling,Limestone,Casting,Fuel/Reductant,48.27,43.68,Mill Scale
Continuous Casting,Coke,Melting,Fuel/Reductant,79.75,48.17,Mill Scale
Basic Oxygen Furnace,Scrap Steel,Finishing,Non-Ferrous Metal,89.56,76.71,Blast Furnace Slag
Hot Rolling,Alloy Additives,Rolling,Flux Material,155.59,142.22,Mill Scale
Finishing & Grinding,Coke,Melting,Flux Material,58.2,50.13,Steel Scrap
Electric Arc Furnace,Coke,Finishing,Ferrous Metal,158.15,146.2,Steel Scrap
Hot Rolling,Alloy Additives,Refining,Coating Material,126.4,152.23,Mill Scale
Finishing & Grinding,Iron Ore,Rolling,Non-Ferrous Metal,23.34,19.58,Steel Scrap
Forging,Scrap Steel,Finishing,Coating Material,195.85,172.19,Refractory Waste
Forging,Limestone,Melting,Non-Ferrous Metal,126.99,144.19,Steel Scrap
Basic Oxygen Furnace,Alloy Additives,Melting,Coating Material,205.27,226.35,Blast Furnace Slag
Finishing & Grinding,Scrap Steel,Casting,Fuel/Reductant,115.08,143.73,Mill Scale
Forging,Alloy Additives,Rolling,Coating Material,95.44,119.69,Steel Scrap
Finishing & Grinding,Alloy Additives,Refining,Flux Material,60.82,47.42,Pickling Sludge
Continuous Casting,Coke,Melting,Non-Ferrous Metal,75.37,61.43,Mill Scale
Continuous Casting,Alloy Additives,Rolling,Fuel/Reductant,91.59,94.08,Steel Scrap
Forging,Iron Ore,Rolling,Coating Material,145.02,114.69,Mill Scale
Continuous Casting,Alloy Additives,Refining,Fuel/Reductant,54.52,58.71,Mill Scale
Finishing & Grinding,Alloy Additives,Melting,Flux Material,77.23,74.73,Pickling Sludge
Hot Rolling,Limestone,Coating,Coating Material,65.28,50.89,Steel Scrap
Finishing & Grinding,Limestone,Finishing,Fuel/Reductant,96.94,90.98,Steel Scrap
Electric Arc Furnace,Iron Ore,Casting,Ferrous Metal,93.25,97.28,EAF Dust
Continuous Casting,Limestone,Coating,Fuel/Reductant,143.61,146.64,Steel Scrap
Basic Oxygen Furnace,Coke,Coating,Flux Material,86.76,64.93,Steel Scrap
Finishing & Grinding,Alloy Additives,Refining,Fuel/Reductant,86.46,76.75,Steel Scrap
Hot Rolling,Coke,Melting,Fuel/Reductant,47.87,37.93,Mill Scale
Basic Oxygen Furnace,Limestone,Melting,Non-Ferrous Metal,62.58,56.11,Blast Furnace Slag
Galvanizing,Zinc Coating Material,Coating,Fuel/Reductant,63.15,57.86,Zinc Ash
Hot Rolling,Iron Ore,Melting,Coating Material,95.36,68.43,Mill Scale
Continuous Casting,Coke,Finishing,Flux Material,109.7,73.17,Mill Scale
Basic Oxygen Furnace,Iron Ore,Rolling,Ferrous Metal,100.65,105.62,Refractory Waste
Continuous Casting,Zinc Coating Material,Refining,Non-Ferrous Metal,124.27,108.57,Mill Scale
Hot Rolling,Zinc Coating Material,Rolling,Fuel/Reductant,190.88,180.9,Mill Scale
Forging,Limestone,Rolling,Ferrous Metal,59.41,65.49,Mill Scale
Basic Oxygen Furnace,Limestone,Coating,Flux Material,157.99,204.42,Steel Scrap
Finishing & Grinding,Limestone,Casting,Coating Material,106.98,70.14,Steel Scrap
Basic Oxygen Furnace,Zinc Coating Material,Rolling,Flux Material,157.41,192.97,Refractory Waste
Forging,Iron Ore,Rolling,Non-Ferrous Metal,65.88,55.9,Steel Scrap
Cold Rolling,Coke,Coating,Coating Material,53.67,51.7,Pickling Sludge
Galvanizing,Zinc Coating Material,Melting,Ferrous Metal,93.62,98.83,Zinc Ash
Finishing & Grinding,Scrap Steel,Melting,Non-Ferrous Metal,40.67,33.64,Refractory Waste
Hot Rolling,Zinc Coating Material,Refining,Flux Material,136.8,145.46,Mill Scale
Cold Rolling,Scrap Steel,Finishing,Flux Material,48.71,54.14,Pickling Sludge
Continuous Casting,Scrap Steel,Rolling,Flux Material,62.23,79.05,Refractory Waste
Forging,Zinc Coating Material,Melting,Ferrous Metal,83.02,89.91,Steel Scrap
Continuous Casting,Alloy Additives,Refining,Coating Material,91.19,83.46,Zinc Ash
Basic Oxygen Furnace,Limestone,Finishing,Non-Ferrous Metal,43.85,36.98,Blast Furnace Slag
Basic Oxygen Furnace,Zinc Coating Material,Melting,Ferrous Metal,130.23,99.53,Blast Furnace Slag
Continuous Casting,Limestone,Refining,Non-Ferrous Metal,108.66,76.79,Mill Scale
Continuous Casting,Limestone,Casting,Non-Ferrous Metal,136.09,141.06,Steel Scrap
Forging,Alloy Additives,Finishing,Fuel/Reductant,90.16,101.76,Refractory Waste
Basic Oxygen Furnace,Iron Ore,Melting,Coating Material,89.86,98.5,Waste Gas Sludge
Forging,Coke,Refining,Non-Ferrous Metal,79.67,64.71,Steel Scrap
Cold Rolling,Zinc Coating Material,Melting,Flux Material,59.91,75.24,Pickling Sludge
Hot Rolling,Zinc Coating Material,Rolling,Flux Material,45.78,37.26,Steel Scrap
Hot Rolling,Limestone,Rolling,Ferrous Metal,51.38,49.37,Mill Scale
Basic Oxygen Furnace,Alloy Additives,Melting,Flux Material,28.97,27.46,Refractory Waste
Forging,Coke,Coating,Non-Ferrous Metal,87.96,106.83,Mill Scale
Basic Oxygen Furnace,Scrap Steel,Coating,Ferrous Metal,81.52,94.9,Blast Furnace Slag
Electric Arc Furnace,Limestone,Coating,Flux Material,63.31,55.84,Steel Scrap
Forging,Limestone,Finishing,Fuel/Reductant,125.57,136.43,Steel Scrap
Continuous Casting,Coke,Melting,Flux Material,86.01,101.13,Mill Scale
Continuous Casting,Alloy Additives,Casting,Fuel/Reductant,84.67,101.89,Steel Scrap
Basic Oxygen Furnace,Coke,Finishing,Fuel/Reductant,84.11,95.5,Waste Gas Sludge
Electric Arc Furnace,Iron Ore,Melting,Fuel/Reductant,117.67,112.0,EAF Dust
Electric Arc Furnace,Coke,Finishing,Non-Ferrous Metal,52.36,33.91,EAF Dust
Electric Arc Furnace,Iron Ore,Rolling,Flux Material,74.56,51.79,Steel Scrap
Cold Rolling,Iron Ore,Casting,Non-Ferrous Metal,87.04,78.58,Mill Scale
Basic Oxygen Furnace,Scrap Steel,Casting,Fuel/Reductant,105.35,100.54,Blast Furnace Slag
Basic Oxygen Furnace,Limestone,Rolling,Coating Material,55.68,41.83,Blast Furnace Slag
Continuous Casting,Coke,Refining,Flux Material,79.96,84.37,Refractory Waste
Basic Oxygen Furnace,Iron Ore,Finishing,Coating Material,77.6,100.6,Blast Furnace Slag
Electric Arc Furnace,Iron Ore,Melting,Fuel/Reductant,150.11,163.1,EAF Dust
Continuous Casting,Scrap Steel,Coating,Fuel/Reductant,64.92,41.78,Mill Scale
Galvanizing,Coke,Melting,Coating Material,74.65,96.87,Zinc Ash
Electric Arc Furnace,Iron Ore,Refining,Coating Material,101.58,105.31,Waste Gas Sludge
Basic Oxygen Furnace,Limestone,Casting,Flux Material,135.0,121.26,Blast Furnace Slag
Electric Arc Furnace,Coke,Refining,Flux Material,44.94,39.99,Steel Scrap
Hot Rolling,Limestone,Casting,Coating Material,77.22,85.99,Pickling Sludge
Hot Rolling,Zinc Coating Material,Coating,Non-Ferrous Metal,66.03,51.63,Mill Scale
Electric Arc Furnace,Iron Ore,Coating,Flux Material,21.99,15.3,Steel Scrap
Electric Arc Furnace,Coke,Melting,Fuel/Reductant,42.37,32.58,Refractory Waste
Basic Oxygen Furnace,Iron Ore,Coating,Non-Ferrous Metal,91.72,106.49,Blast Furnace Slag
Continuous Casting,Zinc Coating Material,Casting,Ferrous Metal,84.45,83.06,Mill Scale
Forging,Zinc Coating Material,Casting,Fuel/Reductant,107.41,127.93,Refractory Waste
Basic Oxygen Furnace,Alloy Additives,Refining,Fuel/Reductant,84.03,69.52,Blast Furnace Slag
Forging,Zinc Coating Material,Refining,Non-Ferrous Metal,55.84,52.11,Steel Scrap
Forging,Zinc Coating Material,Finishing,Flux Material,44.82,51.52,Steel Scrap
Basic Oxygen Furnace,Iron Ore,Refining,Coating Material,39.42,50.01,Blast Furnace Slag
Finishing & Grinding,Limestone,Casting,Fuel/Reductant,63.28,57.35,Steel Scrap
Hot Rolling,Limestone,Casting,Fuel/Reductant,127.8,151.9,Mill Scale
Continuous Casting,Zinc Coating Material,Casting,Coating Material,187.64,230.16,Mill Scale
Galvanizing,Iron Ore,Melting,Non-Ferrous Metal,65.15,67.09,Waste Gas Sludge
Electric Arc Furnace,Zinc Coating Material,Casting,Flux Material,86.15,96.16,Refractory Waste
Forging,Limestone,Coating,Coating Material,60.84,65.47,Steel Scrap
Continuous Casting,Scrap Steel,Melting,Ferrous Metal,72.61,44.18,Refractory Waste
Continuous Casting,Iron Ore,Rolling,Flux Material,91.77,102.44,Steel Scrap
Basic Oxygen Furnace,Alloy Additives,Coating,Flux Material,45.4,51.86,Refractory Waste
Basic Oxygen Furnace,Iron Ore,Finishing,Fuel/Reductant,54.81,39.99,Waste Gas Sludge
Galvanizing,Scrap Steel,Melting,Fuel/Reductant,134.76,82.83,Zinc Ash
Forging,Zinc Coating Material,Rolling,Fuel/Reductant,113.34,144.79,Steel Scrap
Continuous Casting,Coke,Refining,Non-Ferrous Metal,125.76,109.08,Mill Scale
Continuous Casting,Scrap Steel,Coating,Coating Material,60.74,41.61,Steel Scrap
Finishing & Grinding,Limestone,Coating,Fuel/Reductant,141.79,137.71,Steel Scrap
Continuous Casting,Limestone,Refining,Coating Material,106.45,136.04,Mill Scale
Electric Arc Furnace,Limestone,Finishing,Flux Material,64.03,65.39,Steel Scrap
Galvanizing,Alloy Additives,Coating,Flux Material,122.62,137.78,Zinc Ash
Galvanizing,Alloy Additives,Refining,Ferrous Metal,105.71,88.46,Waste Gas Sludge
Electric Arc Furnace,Limestone,Coating,Flux Material,129.34,97.94,Refractory Waste
Continuous Casting,Scrap Steel,Refining,Non-Ferrous Metal,52.88,54.42,Mill Scale
Electric Arc Furnace,Iron Ore,Coating,Fuel/Reductant,32.35,24.86,EAF Dust
Continuous Casting,Iron Ore,Refining,Coating Material,77.34,81.37,Mill Scale
Galvanizing,Alloy Additives,Melting,Flux Material,75.49,88.41,Waste Gas Sludge
Hot Rolling,Limestone,Coating,Flux Material,79.17,73.02,Steel Scrap
Hot Rolling,Alloy Additives,Refining,Ferrous Metal,95.49,105.99,Mill Scale
Continuous Casting,Coke,Finishing,Non-Ferrous Metal,110.93,108.88,Blast Furnace Slag
Galvanizing,Scrap Steel,Melting,Non-Ferrous Metal,134.16,168.53,Pickling Sludge
Basic Oxygen Furnace,Alloy Additives,Casting,Ferrous Metal,100.09,75.01,Blast Furnace Slag
Forging,Alloy Additives,Melting,Flux Material,63.8,75.83,Steel Scrap
Continuous Casting,Zinc Coating Material,Rolling,Fuel/Reductant,96.51,92.25,Steel Scrap
Galvanizing,Iron Ore,Finishing,Coating Material,161.42,160.7,Pickling Sludge
Cold Rolling,Iron Ore,Refining,Ferrous Metal,114.84,130.09,Steel Scrap
Forging,Alloy Additives,Melting,Non-Ferrous Metal,99.35,91.71,Mill Scale
Hot Rolling,Zinc Coating Material,Coating,Ferrous Metal,77.75,57.75,Pickling Sludge
Basic Oxygen Furnace,Iron Ore,Casting,Flux Material,58.1,64.67,Blast Furnace Slag
Basic Oxygen Furnace,Zinc Coating Material,Finishing,Flux Material,49.05,56.34,Blast Furnace Slag
Hot Rolling,Zinc Coating Material,Melting,Flux Material,101.88,61.5,Mill Scale
Electric Arc Furnace,Scrap Steel,Rolling,Fuel/Reductant,59.94,51.4,Refractory Waste
Forging,Limestone,Rolling,Flux Material,110.31,77.68,Steel Scrap
Finishing & Grinding,Alloy Additives,Finishing,Non-Ferrous Metal,113.49,97.35,Steel Scrap
Electric Arc Furnace,Coke,Melting,Flux Material,72.37,80.0,EAF Dust
Galvanizing,Iron Ore,Rolling,Non-Ferrous Metal,93.28,82.91,Pickling Sludge
Basic Oxygen Furnace,Coke,Coating,Coating Material,122.84,73.98,Refractory Waste
Forging,Zinc Coating Material,Refining,Coating Material,41.33,27.49,Refractory Waste
Basic Oxygen Furnace,Coke,Refining,Non-Ferrous Metal,138.52,129.75,Blast Furnace Slag
Cold Rolling,Zinc Coating Material,Casting,Flux Material,66.4,65.94,Waste Gas Sludge
Continuous Casting,Scrap Steel,Casting,Ferrous Metal,91.76,93.82,Steel Scrap
Finishing & Grinding,Iron Ore,Melting,Ferrous Metal,127.06,149.62,Steel Scrap
Basic Oxygen Furnace,Limestone,Melting,Flux Material,107.96,70.6,Waste Gas Sludge
Cold Rolling,Scrap Steel,Finishing,Coating Material,79.07,86.61,Pickling Sludge
Forging,Coke,Refining,Fuel/Reductant,69.82,67.17,Steel Scrap
Cold Rolling,Iron Ore,Casting,Coating Material,50.4,45.55,Pickling Sludge
Basic Oxygen Furnace,Scrap Steel,Finishing,Flux Material,78.27,59.05,Waste Gas Sludge
Hot Rolling,Alloy Additives,Melting,Fuel/Reductant,109.57,115.03,Waste Gas Sludge
Finishing & Grinding,Alloy Additives,Refining,Fuel/Reductant,170.32,116.3,Steel Scrap
Electric Arc Furnace,Alloy Additives,Coating,Coating Material,52.06,61.84,Refractory Waste
Continuous Casting,Scrap Steel,Rolling,Non-Ferrous Metal,135.39,98.72,Blast Furnace Slag
Hot Rolling,Iron Ore,Refining,Ferrous Metal,32.89,27.44,Mill Scale
Forging,Iron Ore,Finishing,Non-Ferrous Metal,67.51,54.62,Mill Scale
Basic Oxygen Furnace,Scrap Steel,Rolling,Coating Material,115.63,90.37,Blast Furnace Slag
Cold Rolling,Alloy Additives,Rolling,Ferrous Metal,127.48,93.09,Steel Scrap
Forging,Scrap Steel,Rolling,Non-Ferrous Metal,78.23,72.03,Steel Scrap
Basic Oxygen Furnace,Scrap Steel,Coating,Ferrous Metal,51.17,56.78,Waste Gas Sludge
Galvanizing,Limestone,Casting,Fuel/Reductant,83.17,75.34,Pickling Sludge
Finishing & Grinding,Scrap Steel,Refining,Flux Material,121.36,124.66,Steel Scrap
Forging,Scrap Steel,Rolling,Flux Material,115.92,130.52,Waste Gas Sludge
Cold Rolling,Coke,Melting,Flux Material,98.26,62.88,Steel Scrap
Cold Rolling,Limestone,Finishing,Ferrous Metal,89.41,70.03,Steel Scrap
Cold Rolling,Zinc Coating Material,Rolling,Flux Material,98.32,77.71,Pickling Sludge
Basic Oxygen Furnace,Iron Ore,Rolling,Non-Ferrous Metal,77.35,70.76,Refractory Waste
Finishing & Grinding,Alloy Additives,Casting,Ferrous Metal,67.57,83.42,Mill Scale
Cold Rolling,Zinc Coating Material,Coating,Fuel/Reductant,84.5,82.19,Pickling Sludge
Electric Arc Furnace,Iron Ore,Refining,Non-Ferrous Metal,36.31,22.34,Refractory Waste
Finishing & Grinding,Scrap Steel,Casting,Non-Ferrous Metal,53.36,68.0,Steel Scrap
Forging,Zinc Coating Material,Melting,Ferrous Metal,112.63,100.6,Steel Scrap
Finishing & Grinding,Iron Ore,Rolling,Coating Material,88.5,98.37,Mill Scale
Cold Rolling,Zinc Coating Material,Finishing,Ferrous Metal,51.2,47.35,Pickling Sludge
Continuous Casting,Alloy Additives,Refining,Non-Ferrous Metal,106.9,109.68,Steel Scrap
Cold Rolling,Zinc Coating Material,Rolling,Coating Material,59.28,44.92,Pickling Sludge
Electric Arc Furnace,Limestone,Refining,Non-Ferrous Metal,74.23,88.74,Pickling Sludge
Cold Rolling,Zinc Coating Material,Finishing,Flux Material,126.75,152.37,Pickling Sludge
Galvanizing,Limestone,Casting,Non-Ferrous Metal,219.97,142.4,Zinc Ash
Forging,Alloy Additives,Melting,Ferrous Metal,99.28,91.42,Steel Scrap
Galvanizing,Alloy Additives,Finishing,Coating Material,167.48,119.92,Pickling Sludge
Basic Oxygen Furnace,Limestone,Melting,Flux Material,69.97,73.87,Refractory Waste
Cold Rolling,Coke,Finishing,Flux Material,178.87,115.12,Pickling Sludge
Hot Rolling,Scrap Steel,Coating,Fuel/Reductant,145.29,92.46,Steel Scrap
Electric Arc Furnace,Zinc Coating Material,Rolling,Flux Material,87.05,64.5,EAF Dust
Forging,Zinc Coating Material,Melting,Coating Material,62.11,70.17,Mill Scale
Hot Rolling,Coke,Finishing,Non-Ferrous Metal,68.05,50.59,Steel Scrap
